"C:\Program Files\Java\jdk-12.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\lib\idea_rt.jar=59074:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Keval\IdeaProjects\CollectionsProjectHomework\out\production\CollectionsProjectHomework com.company.CollectionsRunner
Part II:
Total words in War and Peace: 576150
Duration: 1109 millisecndonds
'auditor' occured: 3
'auersperg' occured: 12
'auerstadt' occured: 4
'augesd' occured: 5
'augezd' occured: 1
'august' occured: 47
'augustin' occured: 2
'aunt' occured: 47
'auntie' occured: 3
'aussi' occured: 1
'austere' occured: 2
'austerity' occured: 1
'austerlitz' occured: 51
'austria' occured: 32
'austrian' occured: 69
'austrians' occured: 19
'austro' occured: 1
'authentic' occured: 3
'author' occured: 10
'authoritative' occured: 1
'authoritatively' occured: 1
'authorities' occured: 22
'authority' occured: 29
'authorized' occured: 2
'authors' occured: 4
'autocrat' occured: 1
'autocratic' occured: 1
'autre' occured: 1
'autumn' occured: 28
'autumnal' occured: 1
'aux' occured: 1
'avail' occured: 9
'available' occured: 7
'availed' occured: 1
'availing' occured: 8
'avalanche' occured: 1
'avare' occured: 1
'avec' occured: 3
'avenge' occured: 3
'avenged' occured: 2
'avenue' occured: 14
'avenues' occured: 2
'average' occured: 1
'aversion' occured: 1
'avert' occured: 3
'averted' occured: 1
'averting' occured: 1
'avez' occured: 1
'avoid' occured: 54
'avoidance' occured: 2
'avoided' occured: 21
'avoiding' occured: 16
'avoue' occured: 1
'await' occured: 14
'awaited' occured: 35
'awaiting' occured: 46
'awaits' occured: 7
'awake' occured: 17
'awaked' occured: 1
'awaken' occured: 4
'awakened' occured: 10
'awakening' occured: 10
'award' occured: 1
'awarded' occured: 5
'awards' occured: 3
'aware' occured: 26
'awareness' occured: 1
'away' occured: 617
'awe' occured: 10
'awed' occured: 3
'awful' occured: 22
'awfully' occured: 8
'awhile' occured: 14
'awistocwacy' occured: 1
'awkward' occured: 31
'awkwardly' occured: 15
'awkwardness' occured: 9
'awl' occured: 1
'awoke' occured: 17
'awry' occured: 4
'ax' occured: 7
'axes' occured: 3
'axles' occured: 1
'aye' occured: 1
'ayez' occured: 1
'aylmer' occured: 1
'azor' occured: 1
'azov' occured: 1
'azur' occured: 1
'b' occured: 13
'ba' occured: 2
'babe' occured: 1
'babies' occured: 3
